date_key,full_date,year,quarter,month,day,year_month,year_week,day_of_year,day_of_week,day_name,day_name_short,is_weekend,month_name,month_name_short
20260601,,,,,,,,152,1,Monday,,False,June,
20260602,,,,,,,,153,2,Tuesday,,False,June,
20260603,,,,,,,,154,3,Wednesday,,False,June,
20260604,,,,,,,,155,4,Thursday,,False,June,
20260605,,,,,,,,156,5,Friday,,False,June,
20260606,,,,,,,,157,6,Saturday,,True,June,
20260607,,,,,,,,158,7,Sunday,,True,June,
20260608,,,,,,,,159,1,Monday,,False,June,
20260609,,,,,,,,160,2,Tuesday,,False,June,
20260610,,,,,,,,161,3,Wednesday,,False,June,
20260611,,,,,,,,162,4,Thursday,,False,June,
20260612,,,,,,,,163,5,Friday,,False,June,
20260613,,,,,,,,164,6,Saturday,,True,June,
20260614,,,,,,,,165,7,Sunday,,True,June,
20260615,,,,,,,,166,1,Monday,,False,June,
20260616,,,,,,,,167,2,Tuesday,,False,June,
20260617,,,,,,,,168,3,Wednesday,,False,June,
20260618,,,,,,,,169,4,Thursday,,False,June,
20260619,,,,,,,,170,5,Friday,,False,June,
20260620,,,,,,,,171,6,Saturday,,True,June,
20260621,,,,,,,,172,7,Sunday,,True,June,
20260622,,,,,,,,173,1,Monday,,False,June,
20260623,,,,,,,,174,2,Tuesday,,False,June,
20260624,,,,,,,,175,3,Wednesday,,False,June,
20260625,,,,,,,,176,4,Thursday,,False,June,
20260626,,,,,,,,177,5,Friday,,False,June,
20260627,,,,,,,,178,6,Saturday,,True,June,
20260628,,,,,,,,179,7,Sunday,,True,June,
20260629,,,,,,,,180,1,Monday,,False,June,
20260630,,,,,,,,181,2,Tuesday,,False,June,
20260701,,,,,,,,182,3,Wednesday,,False,July,
20260702,,,,,,,,183,4,Thursday,,False,July,
20260703,,,,,,,,184,5,Friday,,False,July,
20260704,,,,,,,,185,6,Saturday,,True,July,
20260705,,,,,,,,186,7,Sunday,,True,July,
20260706,,,,,,,,187,1,Monday,,False,July,
20260707,,,,,,,,188,2,Tuesday,,False,July,
20260708,,,,,,,,189,3,Wednesday,,False,July,
20260709,,,,,,,,190,4,Thursday,,False,July,
20260710,,,,,,,,191,5,Friday,,False,July,
20260711,,,,,,,,192,6,Saturday,,True,July,
20260712,,,,,,,,193,7,Sunday,,True,July,
20260713,,,,,,,,194,1,Monday,,False,July,
20260714,,,,,,,,195,2,Tuesday,,False,July,
20260715,,,,,,,,196,3,Wednesday,,False,July,
20260716,,,,,,,,197,4,Thursday,,False,July,
20260717,,,,,,,,198,5,Friday,,False,July,
20260718,,,,,,,,199,6,Saturday,,True,July,
20260719,,,,,,,,200,7,Sunday,,True,July,
20260720,,,,,,,,201,1,Monday,,False,July,
20260721,,,,,,,,202,2,Tuesday,,False,July,
20260722,,,,,,,,203,3,Wednesday,,False,July,
20260723,,,,,,,,204,4,Thursday,,False,July,
20260724,,,,,,,,205,5,Friday,,False,July,
20260725,,,,,,,,206,6,Saturday,,True,July,
20260726,,,,,,,,207,7,Sunday,,True,July,
20260727,,,,,,,,208,1,Monday,,False,July,
20260728,,,,,,,,209,2,Tuesday,,False,July,
20260729,,,,,,,,210,3,Wednesday,,False,July,
20260730,,,,,,,,211,4,Thursday,,False,July,
