device_sk,device_id,device_name,device_label,device_type,additional_info,device_data,customer_id,tenant_id,firmware_id,software_id,external_id,device_profile_id,device_profile_name,device_profile_description,transport_type,provision_type,device_profile_is_default,created_at,_dbt_loaded_at
dsk_204a4fb9b164afa3,e9d88958-6eef-47a7-8e1c-5b137d227a56,BMS_CO2_SENSOR_01061,BMS_CO2_SENSOR_01061,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_79a5923e941fd9f8,ff50dade-61c0-4e64-9933-553d5f26e267,BMS_CO2_SENSOR_01062,BMS_CO2_SENSOR_01062,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_83c547331a646e69,5205ba5e-7486-4826-a7cc-909414dbb359,BMS_CO2_SENSOR_01063,BMS_CO2_SENSOR_01063,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_0d4a7e2076368490,95bec8df-84ea-43b6-842c-85928390218c,BMS_CO2_SENSOR_01064,BMS_CO2_SENSOR_01064,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_4dfbecef5f7212d0,dca05662-6763-4def-8e57-ac7700f0d75d,BMS_CO2_SENSOR_01065,BMS_CO2_SENSOR_01065,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_f6ba45272e31ea21,a48e347c-c383-4634-aa89-e262982b760d,BMS_CO2_SENSOR_01066,BMS_CO2_SENSOR_01066,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_166ed0e56b8f6891,cb7ddc93-592e-448b-835b-e33519ef84ec,BMS_CO2_SENSOR_01067,BMS_CO2_SENSOR_01067,Energy Meter,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_76cec2cdc2723c69,20a28175-76fb-432b-a257-bdd05cdc656b,BMS_CO2_SENSOR_01068,BMS_CO2_SENSOR_01068,NVR,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_9e9c1e2329e77373,1a76bfdd-512c-4105-b199-af0e41a5d234,BMS_CO2_SENSOR_01069,BMS_CO2_SENSOR_01069,Camera,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
dsk_8fbd329be7c44a3c,2d16bd97-afcf-4f52-800a-985aed256844,BMS_CO2_SENSOR_01070,BMS_CO2_SENSOR_01070,Chiller,"{""site"":""demo"",""source"":""raw_dmp_public_device""}","{""configuration"":{""pollingIntervalSec"":60}}",56a0d760-490d-11f1-a19f-b52b73e46bf7,66f096d8-521b-4090-8052-c188b08821d5,,,,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,Synthetic profile for bms-co2-sensor,MQTT,DISABLED,False,2026-05-11 18:46:40,2026-06-12 14:27:33
