device_profile_sk,device_profile_id,device_profile_name,profile_type,transport_type,provision_type,profile_data,device_profile_description,is_default,tenant_id,firmware_id,software_id,default_rule_chain_id,default_dashboard_id,default_queue_name,default_edge_rule_chain_id,provision_device_key,image,created_at,_dbt_loaded_at
dpsk_312a68c36616df36,658b9c20-4c7c-11f1-8114-d7797b05539e,bms-co2-sensor,bms-co2-sensor,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for bms-co2-sensor,True,66f096d8-521b-4090-8052-c188b08821d5,,,04397d39-1f18-90af-8bd6-52b3e3c08f49,a86a6962-ccc9-2aaf-a588-43a2493dc160,Main,,prov_312a68c36616df36,,2026-05-01 00:00:00,2026-06-09 00:55:46
dpsk_19f667ee1832ff74,65936450-4c7c-11f1-8114-d7797b05539e,bms-air-flow-sensor,bms-air-flow-sensor,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for bms-air-flow-sensor,False,66f096d8-521b-4090-8052-c188b08821d5,,,21786601-1c04-024d-632a-5a7a6241ee89,902970f5-01c1-09a5-88cc-fa33fa31c88b,Main,,prov_19f667ee1832ff74,,2026-04-30 00:00:00,2026-06-09 00:55:46
dpsk_02f8d70f890cc7b7,659f2420-4c7c-11f1-8114-d7797b05539e,bms-btu-meter,bms-btu-meter,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for bms-btu-meter,False,66f096d8-521b-4090-8052-c188b08821d5,,,48db5436-1e1f-c5a2-f5dc-302892f2da89,884826b6-a5da-5e0c-4459-cba9fb1d3682,Main,,prov_02f8d70f890cc7b7,,2026-04-29 00:00:00,2026-06-09 00:55:46
dpsk_21a2ddebb182db16,65aa47b0-4c7c-11f1-8114-d7797b05539e,bms-supply-pressurization-fan,bms-supply-pressurization-fan,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for bms-supply-pressurization-fan,False,66f096d8-521b-4090-8052-c188b08821d5,,,4593aa9b-2456-981e-b6cb-2ce6e76c963a,7fc767c1-6d78-1056-1451-4dd2dbbf5233,Main,,prov_21a2ddebb182db16,,2026-04-28 00:00:00,2026-06-09 00:55:46
dpsk_58c03d390852e307,65c040b0-4c7c-11f1-8114-d7797b05539e,bms-water-pump,bms-water-pump,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for bms-water-pump,False,66f096d8-521b-4090-8052-c188b08821d5,,,0ae93af8-981e-d065-cce2-844efdd9784e,3d9abf43-e2b0-3cc6-2f1d-6fe4cc6ab992,Main,,prov_58c03d390852e307,,2026-04-27 00:00:00,2026-06-09 00:55:46
dpsk_81753cd1ec31c79a,65b2fa40-4c7c-11f1-8114-d7797b05539e,bms-energy-water-meter,bms-energy-water-meter,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for bms-energy-water-meter,False,66f096d8-521b-4090-8052-c188b08821d5,,,2c891b55-86e2-a5b4-6b07-79ad36cb486e,c3f7463e-50d3-fc1f-8130-92a083af1073,Main,,prov_81753cd1ec31c79a,,2026-04-26 00:00:00,2026-06-09 00:55:46
dpsk_edc56af45fb2551a,6574dfd0-4c7c-11f1-8114-d7797b05539e,bms-lighting-circuit,bms-lighting-circuit,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for bms-lighting-circuit,False,66f096d8-521b-4090-8052-c188b08821d5,,,76c25356-b820-bebb-ce90-241ceee3411e,d586942f-673c-cad7-cc12-b941ea332cb4,Main,,prov_edc56af45fb2551a,,2026-04-25 00:00:00,2026-06-09 00:55:46
dpsk_d128f4c15a27cc45,83add7e0-4c7c-11f1-8114-d7797b05539e,bms-smart-button,bms-smart-button,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for bms-smart-button,False,66f096d8-521b-4090-8052-c188b08821d5,,,a95ff9c0-c815-1c1b-171c-c25f1198dbab,244fd227-38b8-ace9-7de7-920dd898636a,Main,,prov_d128f4c15a27cc45,,2026-04-24 00:00:00,2026-06-09 00:55:46
dpsk_ee1ee0e71a3aa838,af7a3e50-4a96-11f1-92d1-3d4b5d4e3856,Hikvision Camera,Hikvision Camera,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for Hikvision Camera,False,66f096d8-521b-4090-8052-c188b08821d5,,,efa7e771-e2b0-736f-faf1-56edf633e579,7b28bbbb-8123-eaab-624a-e53fe4daeac2,Main,,prov_ee1ee0e71a3aa838,,2026-04-23 00:00:00,2026-06-09 00:55:46
dpsk_64fc2a48c8f7bb03,e42ce820-5a39-11f1-95b4-55ca5b96681e,Camera ANPR,Camera ANPR,MQTT,DISABLED,"{""telemetry"":true,""sampleIntervalSec"":60}",Synthetic profile for Camera ANPR,False,66f096d8-521b-4090-8052-c188b08821d5,,,f528ac94-acba-2485-1976-ed56dc81e127,eb5415a5-9f76-f5a3-404a-2e778adf16d0,Main,,prov_64fc2a48c8f7bb03,,2026-04-22 00:00:00,2026-06-09 00:55:46
