time_key,time_of_day,hour,minute,time_label,hour_label,period,time_of_day_label,minutes_since_midnight
0000,00:00:00,0,0,00:00,00:00,night,00:00,0
0015,00:15:00,0,15,00:15,00:00,night,00:15,15
0030,00:30:00,0,30,00:30,00:00,night,00:30,30
0045,00:45:00,0,45,00:45,00:00,night,00:45,45
0100,01:00:00,1,0,01:00,01:00,night,01:00,60
0115,01:15:00,1,15,01:15,01:00,night,01:15,75
0130,01:30:00,1,30,01:30,01:00,night,01:30,90
0145,01:45:00,1,45,01:45,01:00,night,01:45,105
0200,02:00:00,2,0,02:00,02:00,night,02:00,120
0215,02:15:00,2,15,02:15,02:00,night,02:15,135
0230,02:30:00,2,30,02:30,02:00,night,02:30,150
0245,02:45:00,2,45,02:45,02:00,night,02:45,165
0300,03:00:00,3,0,03:00,03:00,night,03:00,180
0315,03:15:00,3,15,03:15,03:00,night,03:15,195
0330,03:30:00,3,30,03:30,03:00,night,03:30,210
0345,03:45:00,3,45,03:45,03:00,night,03:45,225
0400,04:00:00,4,0,04:00,04:00,night,04:00,240
0415,04:15:00,4,15,04:15,04:00,night,04:15,255
0430,04:30:00,4,30,04:30,04:00,night,04:30,270
0445,04:45:00,4,45,04:45,04:00,night,04:45,285
0500,05:00:00,5,0,05:00,05:00,night,05:00,300
0515,05:15:00,5,15,05:15,05:00,night,05:15,315
0530,05:30:00,5,30,05:30,05:00,night,05:30,330
0545,05:45:00,5,45,05:45,05:00,night,05:45,345
0600,06:00:00,6,0,06:00,06:00,morning,06:00,360
0615,06:15:00,6,15,06:15,06:00,morning,06:15,375
0630,06:30:00,6,30,06:30,06:00,morning,06:30,390
0645,06:45:00,6,45,06:45,06:00,morning,06:45,405
0700,07:00:00,7,0,07:00,07:00,morning,07:00,420
0715,07:15:00,7,15,07:15,07:00,morning,07:15,435
0730,07:30:00,7,30,07:30,07:00,morning,07:30,450
0745,07:45:00,7,45,07:45,07:00,morning,07:45,465
0800,08:00:00,8,0,08:00,08:00,morning,08:00,480
0815,08:15:00,8,15,08:15,08:00,morning,08:15,495
0830,08:30:00,8,30,08:30,08:00,morning,08:30,510
0845,08:45:00,8,45,08:45,08:00,morning,08:45,525
0900,09:00:00,9,0,09:00,09:00,morning,09:00,540
0915,09:15:00,9,15,09:15,09:00,morning,09:15,555
0930,09:30:00,9,30,09:30,09:00,morning,09:30,570
0945,09:45:00,9,45,09:45,09:00,morning,09:45,585
1000,10:00:00,10,0,10:00,10:00,morning,10:00,600
1015,10:15:00,10,15,10:15,10:00,morning,10:15,615
1030,10:30:00,10,30,10:30,10:00,morning,10:30,630
1045,10:45:00,10,45,10:45,10:00,morning,10:45,645
1100,11:00:00,11,0,11:00,11:00,morning,11:00,660
1115,11:15:00,11,15,11:15,11:00,morning,11:15,675
1130,11:30:00,11,30,11:30,11:00,morning,11:30,690
1145,11:45:00,11,45,11:45,11:00,morning,11:45,705
1200,12:00:00,12,0,12:00,12:00,afternoon,12:00,720
1215,12:15:00,12,15,12:15,12:00,afternoon,12:15,735
