device_sk,asset_sk,device_id,device_tenant_id,asset_id,asset_tenant_id,relation_type_group,relation_type,relation_additional_info,relation_version,_dbt_loaded_at
dsk_204a4fb9b164afa3,ask_80bee00063ab642c,e9d88958-6eef-47a7-8e1c-5b137d227a56,66f096d8-521b-4090-8052-c188b08821d5,6ef9b1c0-6737-848b-96dc-79be572422b5,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_79a5923e941fd9f8,ask_40e6369431178740,ff50dade-61c0-4e64-9933-553d5f26e267,66f096d8-521b-4090-8052-c188b08821d5,07b2c7d6-724c-8bf1-d878-fdf00fe5414c,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_83c547331a646e69,ask_c60d924161ed5954,5205ba5e-7486-4826-a7cc-909414dbb359,66f096d8-521b-4090-8052-c188b08821d5,e38b1ff2-2212-dc8f-1724-4c7c6abe87de,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_0d4a7e2076368490,ask_a5c2b69fd0163296,95bec8df-84ea-43b6-842c-85928390218c,66f096d8-521b-4090-8052-c188b08821d5,0c797958-6e36-5e12-2660-b5abe71a232d,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_4dfbecef5f7212d0,ask_02fbe8b8189a286a,dca05662-6763-4def-8e57-ac7700f0d75d,66f096d8-521b-4090-8052-c188b08821d5,86dfc06f-ff7f-ef68-a31d-d36a7f57f97e,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_f6ba45272e31ea21,ask_41a0c16f0891e1f3,a48e347c-c383-4634-aa89-e262982b760d,66f096d8-521b-4090-8052-c188b08821d5,ed9fad0a-fa71-1807-0978-3c201094af7a,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_166ed0e56b8f6891,ask_94a458e23b5fc248,cb7ddc93-592e-448b-835b-e33519ef84ec,66f096d8-521b-4090-8052-c188b08821d5,b3a9b359-cea7-4370-a911-3413e322e894,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_76cec2cdc2723c69,ask_a31406d3410d662d,20a28175-76fb-432b-a257-bdd05cdc656b,66f096d8-521b-4090-8052-c188b08821d5,e527ab7a-b3c5-a5f7-57b2-9ffed47f5b4e,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_9e9c1e2329e77373,ask_6bf415598f484349,1a76bfdd-512c-4105-b199-af0e41a5d234,66f096d8-521b-4090-8052-c188b08821d5,a28c4655-daf8-8902-0ef5-984b8ae5a559,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_8fbd329be7c44a3c,ask_32bd5c343536774e,2d16bd97-afcf-4f52-800a-985aed256844,66f096d8-521b-4090-8052-c188b08821d5,4ce800ac-2e52-7f7a-64b7-64311a8844b1,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_3a4a8ede6936a853,ask_b69a971a3f408a62,7fbb8874-7250-4d55-a7bb-d4d19cf0ae76,66f096d8-521b-4090-8052-c188b08821d5,62e45981-fee0-e979-63da-a2a4b96d598f,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_e4350df66534235c,ask_61dfc1c13c08f2ce,cc47361b-0981-4bc9-b0d6-de660d24d5e9,66f096d8-521b-4090-8052-c188b08821d5,c919f988-68b9-30df-19b6-a8ecd44d9604,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_31ac5f4274daefb9,ask_5ac4a6c8499602be,e863b6ea-b3fa-4cdd-ae1b-2ebf095a3403,66f096d8-521b-4090-8052-c188b08821d5,68341f67-0544-9e63-8948-49d4d108ddc4,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_b8608bd1da67857d,ask_ad0f071ff88f657f,aa97b1b7-f224-4636-befc-bb68e1a638d4,66f096d8-521b-4090-8052-c188b08821d5,e77e9337-3a04-45a6-6b61-4fb8ce8c01f1,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_582770402f566ad5,ask_d117cc7d53e70aba,aae23976-2fbc-4660-ac6f-61b1e5c86980,66f096d8-521b-4090-8052-c188b08821d5,1247d53d-becb-6428-74ad-358e7dd768b9,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_4fa1450b7b6d34d4,ask_ee70403456ffbdbc,fa6d4be6-c812-49bc-8247-544da882177c,66f096d8-521b-4090-8052-c188b08821d5,b58bebb1-3600-0091-66f0-e9116da46838,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_95879249fda504cc,ask_090712dc8e72dd0d,d2b1bc97-e37f-4253-80e9-742a7dc73e26,66f096d8-521b-4090-8052-c188b08821d5,60238843-12ff-be99-460b-beb5af7f448e,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
dsk_6b7455390ac123da,ask_5fd3568675835ee7,298dc98b-9e3f-4db5-bd68-90187fdf19a0,66f096d8-521b-4090-8052-c188b08821d5,7fc4235e-1bb0-e0f1-0dfd-570d58688e2d,66f096d8-521b-4090-8052-c188b08821d5,COMMON,Contains,"{""source"":""synthetic"",""confidence"":1.0}",1,2026-06-09 00:55:47
